stationName,start_station_id,lat,lon,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
" Spring Garden Station, BSL                                  ",3059,39.96265,-75.161743,55,18,34,11,4,14,79,117,295,121,91,113,105,87,114,115,179,222,135,154,108,70,72,73
 Free Library of Philadelphia - Central Library              ,3060,39.959229,-75.170357,8,7,7,2,1,7,33,55,120,117,99,114,155,151,143,158,166,279,189,145,130,76,58,31
 23rd & Market                                               ,3061,39.95425,-75.177612,35,27,14,7,15,32,48,66,205,178,102,136,199,238,195,240,292,522,426,394,263,225,127,92
 24th & Sansom                                               ,3062,39.951969,-75.179428,29,14,6,1,2,3,41,84,165,131,103,112,135,138,144,111,163,421,276,188,103,94,63,44
 17th & Pine                                                 ,3063,39.946331,-75.1698,57,28,18,18,12,64,90,206,374,207,210,179,161,215,153,146,211,303,289,228,183,100,100,78
" 18th & Washington, Chew Playground                          ",3064,39.9384,-75.173271,16,8,5,2,4,10,47,290,397,161,107,103,106,78,106,104,94,133,138,137,101,62,30,24
 Girard & Hutchinson                                         ,3065,39.970699,-75.151711,6,3,,,,37,18,25,72,16,22,26,14,19,8,11,21,16,4,12,13,7,8,1
 19th & Lombard                                              ,3066,39.94561,-75.173477,47,24,12,3,8,129,239,370,434,193,138,149,159,149,136,145,164,197,259,196,141,127,96,48
" 39th & Mt. Vernon, Mantua Haverford Community Center        ",3067,39.964111,-75.19973,3,1,1,2,2,4,4,33,47,34,26,25,21,24,18,28,23,25,25,38,29,17,8,2
 Broad & Federal                                             ,3068,39.93549,-75.167107,31,15,22,8,17,23,74,166,295,236,120,111,124,117,120,97,125,139,153,129,101,66,88,52
 4th & Christian                                             ,3069,39.937038,-75.150383,22,14,14,2,4,7,220,289,445,159,104,119,96,63,78,69,93,136,125,178,89,55,48,48
" Spring Garden Station, MFL                                  ",3070,39.960621,-75.139832,23,37,39,17,12,5,11,59,94,53,87,60,82,100,95,54,72,102,128,139,87,76,64,64
" 32nd & Baring, Drexel Park                                  ",3071,39.961731,-75.187881,24,4,9,7,4,14,24,120,193,118,67,59,61,70,57,63,80,99,97,82,107,62,43,27
 Front & Carpenter                                           ,3072,39.934448,-75.145409,9,6,6,4,14,68,38,160,174,75,57,48,64,78,63,61,93,77,99,98,54,50,71,32
 9th & Spring Garden                                         ,3073,39.96143,-75.15242,20,4,15,3,8,56,26,60,174,71,52,48,78,51,58,69,78,139,146,74,63,59,46,26
 44th & Walnut                                               ,3074,39.955109,-75.209869,14,3,5,1,,76,97,133,143,125,80,91,85,81,81,73,93,103,101,135,87,75,28,26
 Fairmount & Ridge                                           ,3075,39.967178,-75.161247,13,9,3,5,7,25,75,178,267,77,85,60,71,63,77,52,64,78,90,88,61,39,31,26
 17th & Girard                                               ,3077,39.972069,-75.163513,8,3,3,1,3,1,16,31,100,68,58,51,44,40,41,44,43,99,55,49,31,25,11,9
 Broad & Christian                                           ,3086,39.940189,-75.166908,27,10,11,7,,15,52,32,209,117,98,101,93,81,71,83,79,119,127,100,86,62,37,26
 3rd & Girard                                                ,3088,39.969841,-75.1418,6,7,15,,3,2,18,26,129,78,50,31,46,27,41,32,33,49,33,31,30,23,23,9
 33rd & Diamond                                              ,3093,39.988369,-75.187012,8,1,1,32,7,2,20,12,5,20,27,31,35,41,45,54,43,51,58,63,43,32,19,10
 29th & Diamond                                              ,3095,39.987709,-75.180519,16,12,13,2,1,3,10,5,26,35,42,48,50,47,62,57,60,66,77,74,68,58,49,38
 29th & Dauphin                                              ,3096,39.991192,-75.179749,18,4,3,1,1,5,7,17,36,20,24,25,36,26,46,36,40,37,35,32,26,38,56,28
" Berks Station, MFL                                          ",3097,39.978882,-75.133392,6,6,1,4,5,2,19,51,101,53,57,49,48,46,48,34,67,46,38,32,36,34,25,19
 10th & Federal                                              ,3098,39.934311,-75.160423,39,16,17,5,7,32,40,62,91,188,77,65,89,79,58,69,90,71,74,67,65,30,43,20
 4th & Washington                                            ,3099,39.93401,-75.15094,8,10,7,4,1,4,10,39,189,65,53,44,50,47,52,39,43,58,90,90,65,41,29,29
 Moyamensing & Tasker                                        ,3100,39.927769,-75.151031,8,7,7,4,2,17,60,186,265,165,148,138,120,82,90,92,95,104,104,126,106,57,51,17
 11th & South                                                ,3101,39.942951,-75.159554,62,34,21,9,9,17,70,167,296,248,171,210,237,221,254,229,225,324,355,312,261,216,135,105
 26th & Pennsylvania                                         ,3102,39.968182,-75.180344,14,14,1,4,8,27,112,230,471,230,165,164,157,166,122,144,198,234,197,197,160,86,48,49
" 27th & Master, Athletic Recreation Center                   ",3103,39.977139,-75.179398,1,,1,,,4,34,15,9,22,23,21,13,17,14,13,25,14,17,28,21,11,11,9
 34th & Mantua                                               ,3104,39.96664,-75.192093,2,2,8,1,1,,10,47,55,26,15,18,11,15,10,15,15,14,20,10,11,2,12,3
